,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,Text,Text Length,Text Length Token,sentiment
13987,863,71,Tie-neck tee,Love it - material is soft and color goes will with any color.,5,1,1,General,Tops,Knits,Tie-neck tee. Love it - material is soft and color goes will with any color.,76,19,1
14875,833,67,Gorgeous,"This is a truly exquisite top. it looks exactly as it does online with cascades of delicately embroidered flowers on front and back and a slightly ruffled neck. very chic and versatile with skirts or pants.
material is very light and chiffon like and it's fully lined so no need for a cami. it's ever so slightly see-through in the sections that are not embroidered but only in very intense light.
it fits tts, i usually get petite sizes but i got a xxs regular because i wanted a longer length and",5,1,14,General,Tops,Blouses,"Gorgeous. This is a truly exquisite top. it looks exactly as it does online with cascades of delicately embroidered flowers on front and back and a slightly ruffled neck. very chic and versatile with skirts or pants.
material is very light and chiffon like and it's fully lined so no need for a cami. it's ever so slightly see-through in the sections that are not embroidered but only in very intense light.
it fits tts, i usually get petite sizes but i got a xxs regular because i wanted a longer length and",510,131,1
4520,820,45,Love this blouse!,"This is one of the best purchases f
i have made at retailer recently. i got this in ivory in my usual xs. the pictures do not do it justice.  it has such a nice drape and i love the detail on the back.  looks great with black cropped trousers, as well as skinny jeans.",5,1,0,General,Tops,Blouses,"Love this blouse!. This is one of the best purchases f
i have made at retailer recently. i got this in ivory in my usual xs. the pictures do not do it justice.  it has such a nice drape and i love the detail on the back.  looks great with black cropped trousers, as well as skinny jeans.",288,74,1
5143,678,60,Beautiful beach pants,"Have not worn them yet, but they are so soft and pretty. seems like a good item to travel with.",5,1,0,Initmates,Intimate,Sleep,"Beautiful beach pants. Have not worn them yet, but they are so soft and pretty. seems like a good item to travel with.",118,28,1
7975,862,59,Love it!,"Really soft and roomy. very comfortable. just hope it washes well. nice alternative to the regular turtleneck. i wanted it in both colors neutral and green. unfortunately, the neutral did not work for me.",4,1,0,General,Tops,Knits,"Love it!. Really soft and roomy. very comfortable. just hope it washes well. nice alternative to the regular turtleneck. i wanted it in both colors neutral and green. unfortunately, the neutral did not work for me.",214,50,1
17472,941,37,Nope!,Weird fit and the tie just add to the problems. i think i'd like this a lot more if it were just an open cardigan without the tie. the tie seems like an after thought. it's flimsy and it just makes anyone wearing this look like a house -- no matter there size. i ordered a medium black and it's already in the mail!,2,0,2,General Petite,Tops,Sweaters,Nope!. Weird fit and the tie just add to the problems. i think i'd like this a lot more if it were just an open cardigan without the tie. the tie seems like an after thought. it's flimsy and it just makes anyone wearing this look like a house -- no matter there size. i ordered a medium black and it's already in the mail!,322,83,1
13144,975,55,Amazing,"I have been a loyal retailer customer for at least 10 years now, so i don't say this lightly; this might be my favorite clothing purchase ever. the overall design is incredible. the feminine detail in the embroidery combined with the traditional bomber style is done so well. i somehow snagged a medium petite and it is absolutely perfect. there is enough room to fit a sweater underneath, but the sleeves and waist are the perfect length! something which is difficult to find at 5'2"". also, i must say",5,1,1,General Petite,Jackets,Jackets,"Amazing. I have been a loyal retailer customer for at least 10 years now, so i don't say this lightly; this might be my favorite clothing purchase ever. the overall design is incredible. the feminine detail in the embroidery combined with the traditional bomber style is done so well. i somehow snagged a medium petite and it is absolutely perfect. there is enough room to fit a sweater underneath, but the sleeves and waist are the perfect length! something which is difficult to find at 5'2"". also, i must say",511,122,1
20422,461,23,Perfect cover-up,This cover-up is perfect for the beach or the pool. it is see through.,5,1,0,Initmates,Intimate,Swim,Perfect cover-up. This cover-up is perfect for the beach or the pool. it is see through.,88,23,1
12796,828,51,A nice twist on a classic,"I love the cut of this shirt! interesting back, and it hangs nicely.....surprisingly flattering! i'm usually a small and needed the xs in this shirt, fyi. very soft, and overall just very pleased with this purchase! i bought it in the denim as well!",5,1,0,General,Tops,Blouses,"A nice twist on a classic. I love the cut of this shirt! interesting back, and it hangs nicely.....surprisingly flattering! i'm usually a small and needed the xs in this shirt, fyi. very soft, and overall just very pleased with this purchase! i bought it in the denim as well!",276,76,1
19170,1121,66,Hand wash?,"Darling jacket/coat, similar styling as the beige with big flowers and lace-up back that i bought a few years ago and still love. i was considering this one, but the description says to hand wash. seriously? a coat? that's simply not practical. not sure if i will buy this one.",2,0,0,General,Jackets,Outerwear,"Hand wash?. Darling jacket/coat, similar styling as the beige with big flowers and lace-up back that i bought a few years ago and still love. i was considering this one, but the description says to hand wash. seriously? a coat? that's simply not practical. not sure if i will buy this one.",289,71,0
